year,month,state,city,crime_type,incidents,population
2018,12,Kerala,Thiruvananthapuram,Fraud,48,715029
2018,12,Kerala,Thiruvananthapuram,Theft,63,703761
2018,1,Maharashtra,Mumbai,Burglary,65,385999
2018,1,Maharashtra,Mumbai,Cyber Crime,33,602324
2018,1,Maharashtra,Mumbai,Kidnapping,61,1282125
2018,3,Maharashtra,Mumbai,Cyber Crime,61,1363362
2018,3,Maharashtra,Mumbai,Robbery,46,161140
2018,3,Maharashtra,Mumbai,Theft,20,952284
2018,4,Maharashtra,Mumbai,Burglary,55,708825
2018,4,Maharashtra,Mumbai,Cyber Crime,5,887213
2018,4,Maharashtra,Mumbai,Theft,48,297968
2018,6,Maharashtra,Mumbai,Fraud,62,139648
2018,6,Maharashtra,Mumbai,Kidnapping,41,142697
2018,6,Maharashtra,Mumbai,Robbery,32,320698
2018,8,Maharashtra,Mumbai,Assault,58,538443
2018,8,Maharashtra,Mumbai,Homicide,73,407579
2018,8,Maharashtra,Mumbai,Robbery,51,359142
2018,9,Maharashtra,Mumbai,Assault,12,693926
2018,9,Maharashtra,Mumbai,Cyber Crime,60,654078
2018,9,Maharashtra,Mumbai,Fraud,28,1165454
2018,1,Maharashtra,Nashik,Burglary,13,1032752
2018,1,Maharashtra,Nashik,Kidnapping,41,584358
2018,1,Maharashtra,Nashik,Theft,50,1070246
2018,3,Maharashtra,Nashik,Assault,12,521199
2018,3,Maharashtra,Nashik,Cyber Crime,60,595260
2018,3,Maharashtra,Nashik,Theft,73,1485056
2018,5,Maharashtra,Nashik,Cyber Crime,56,275006
2018,5,Maharashtra,Nashik,Homicide,12,966237
2018,5,Maharashtra,Nashik,Theft,48,309624
2018,7,Maharashtra,Nashik,Assault,60,1263480
2018,7,Maharashtra,Nashik,Fraud,62,689273
2018,7,Maharashtra,Nashik,Homicide,42,416674
2018,8,Maharashtra,Nashik,Burglary,38,1477405
2018,8,Maharashtra,Nashik,Robbery,11,1014750
2018,8,Maharashtra,Nashik,Theft,15,1127281
2018,11,Maharashtra,Nashik,Homicide,52,670989
2018,11,Maharashtra,Nashik,Robbery,14,463822
2018,11,Maharashtra,Nashik,Theft,58,1003495
2018,2,Maharashtra,Pune,Cyber Crime,35,999570
2018,2,Maharashtra,Pune,Fraud,33,1437582
2018,2,Maharashtra,Pune,Homicide,55,657944
2018,4,Maharashtra,Pune,Burglary,8,1324582
2018,4,Maharashtra,Pune,Cyber Crime,65,1418564
2018,4,Maharashtra,Pune,Theft,22,499178
2018,7,Maharashtra,Pune,Fraud,43,1180674
2018,7,Maharashtra,Pune,Kidnapping,22,1296417
2018,7,Maharashtra,Pune,Theft,43,1301516
2018,9,Maharashtra,Pune,Assault,36,274428
2018,9,Maharashtra,Pune,Burglary,69,762554
2018,9,Maharashtra,Pune,Cyber Crime,51,1438904
2018,10,Maharashtra,Pune,Assault,60,236665
2018,10,Maharashtra,Pune,Homicide,55,167280
2018,10,Maharashtra,Pune,Theft,13,234558
2018,12,Maharashtra,Pune,Fraud,29,968610
2018,12,Maharashtra,Pune,Homicide,25,972509
2018,12,Maharashtra,Pune,Robbery,54,945412
2018,3,Rajasthan,Jaipur,Assault,13,980432
2018,3,Rajasthan,Jaipur,Cyber Crime,17,1264959
2018,3,Rajasthan,Jaipur,Homicide,41,318461
2018,6,Rajasthan,Jaipur,Cyber Crime,65,967184
2018,6,Rajasthan,Jaipur,Homicide,67,713764
2018,6,Rajasthan,Jaipur,Theft,31,765440
2018,7,Rajasthan,Jaipur,Burglary,15,1320305
2018,7,Rajasthan,Jaipur,Cyber Crime,14,1313921
2018,7,Rajasthan,Jaipur,Fraud,56,827919
2018,8,Rajasthan,Jaipur,Assault,29,379784
2018,8,Rajasthan,Jaipur,Cyber Crime,28,1237249
2018,8,Rajasthan,Jaipur,Kidnapping,36,203085
2018,10,Rajasthan,Jaipur,Assault,35,1002451
2018,10,Rajasthan,Jaipur,Robbery,28,294479
2018,10,Rajasthan,Jaipur,Theft,37,497708
2018,11,Rajasthan,Jaipur,Fraud,40,777587
2018,11,Rajasthan,Jaipur,Homicide,25,235468
2018,11,Rajasthan,Jaipur,Kidnapping,39,212646
2018,2,Rajasthan,Jodhpur,Burglary,12,1215741
2018,2,Rajasthan,Jodhpur,Cyber Crime,28,1190347
2018,2,Rajasthan,Jodhpur,Kidnapping,27,320781
2018,3,Rajasthan,Jodhpur,Fraud,19,495881
2018,3,Rajasthan,Jodhpur,Homicide,47,776612
2018,3,Rajasthan,Jodhpur,Robbery,33,120507
2018,5,Rajasthan,Jodhpur,Assault,57,1389005
2018,5,Rajasthan,Jodhpur,Cyber Crime,7,977181
2018,5,Rajasthan,Jodhpur,Kidnapping,49,676677
2018,6,Rajasthan,Jodhpur,Homicide,43,146190
2018,6,Rajasthan,Jodhpur,Robbery,25,724294
2018,6,Rajasthan,Jodhpur,Theft,62,614847
2018,7,Rajasthan,Jodhpur,Burglary,13,1221651
2018,7,Rajasthan,Jodhpur,Fraud,10,323133
2018,7,Rajasthan,Jodhpur,Kidnapping,9,1148663
2018,12,Rajasthan,Jodhpur,Fraud,60,1474150
2018,12,Rajasthan,Jodhpur,Homicide,46,259847
2018,12,Rajasthan,Jodhpur,Kidnapping,48,879934
2018,1,Rajasthan,Udaipur,Assault,44,552923
2018,1,Rajasthan,Udaipur,Cyber Crime,41,1137750
2018,1,Rajasthan,Udaipur,Fraud,27,1280215
2018,2,Rajasthan,Udaipur,Kidnapping,50,527943
2018,2,Rajasthan,Udaipur,Robbery,31,330160
2018,2,Rajasthan,Udaipur,Theft,64,1335622
2018,3,Rajasthan,Udaipur,Assault,58,1039996
2018,3,Rajasthan,Udaipur,Cyber Crime,48,663655
2018,3,Rajasthan,Udaipur,Robbery,73,892036
2018,6,Rajasthan,Udaipur,Cyber Crime,26,1238917
2018,6,Rajasthan,Udaipur,Homicide,55,1429181
2018,6,Rajasthan,Udaipur,Theft,6,1069888
2018,9,Rajasthan,Udaipur,Cyber Crime,60,1147478
2018,9,Rajasthan,Udaipur,Fraud,10,321227
2018,9,Rajasthan,Udaipur,Kidnapping,41,401195
2018,10,Rajasthan,Udaipur,Fraud,50,1225292
2018,10,Rajasthan,Udaipur,Homicide,44,227046
2018,10,Rajasthan,Udaipur,Robbery,32,265628
2018,3,Tamil Nadu,Chennai,Assault,41,1345866
2018,3,Tamil Nadu,Chennai,Burglary,15,494823
2018,3,Tamil Nadu,Chennai,Robbery,19,1129020
2018,4,Tamil Nadu,Chennai,Assault,5,1114934
2018,4,Tamil Nadu,Chennai,Fraud,31,1160643
2018,4,Tamil Nadu,Chennai,Robbery,30,789231
2018,8,Tamil Nadu,Chennai,Assault,19,448032
2018,8,Tamil Nadu,Chennai,Burglary,23,1208163
2018,8,Tamil Nadu,Chennai,Theft,51,479656
2018,9,Tamil Nadu,Chennai,Assault,45,964083
2018,9,Tamil Nadu,Chennai,Cyber Crime,53,525227
2018,9,Tamil Nadu,Chennai,Theft,51,865444
2018,10,Tamil Nadu,Chennai,Assault,48,696644
2018,10,Tamil Nadu,Chennai,Kidnapping,67,994038
2018,10,Tamil Nadu,Chennai,Robbery,51,688205
2018,12,Tamil Nadu,Chennai,Cyber Crime,51,531866
2018,12,Tamil Nadu,Chennai,Homicide,38,910539
2018,12,Tamil Nadu,Chennai,Kidnapping,68,601194
2018,1,Tamil Nadu,Coimbatore,Homicide,76,1498025
2018,1,Tamil Nadu,Coimbatore,Kidnapping,46,1281589
2018,1,Tamil Nadu,Coimbatore,Robbery,8,434119
2018,2,Tamil Nadu,Coimbatore,Cyber Crime,9,634284
2018,2,Tamil Nadu,Coimbatore,Fraud,24,524316
2018,2,Tamil Nadu,Coimbatore,Homicide,58,146668
2018,4,Tamil Nadu,Coimbatore,Burglary,41,339718
2018,4,Tamil Nadu,Coimbatore,Cyber Crime,31,1070599
2018,4,Tamil Nadu,Coimbatore,Theft,10,318512
2018,6,Tamil Nadu,Coimbatore,Cyber Crime,48,1435943
2018,6,Tamil Nadu,Coimbatore,Homicide,73,215789
2018,6,Tamil Nadu,Coimbatore,Robbery,42,1095178
2018,9,Tamil Nadu,Coimbatore,Burglary,15,603122
2018,9,Tamil Nadu,Coimbatore,Homicide,14,768959
2018,9,Tamil Nadu,Coimbatore,Robbery,51,1174066
2018,12,Tamil Nadu,Coimbatore,Assault,33,1318988
2018,12,Tamil Nadu,Coimbatore,Kidnapping,26,1275216
2018,12,Tamil Nadu,Coimbatore,Robbery,57,1360273
2018,1,Tamil Nadu,Madurai,Assault,74,117110
2018,1,Tamil Nadu,Madurai,Burglary,65,775884
2018,1,Tamil Nadu,Madurai,Homicide,12,839428
2018,2,Tamil Nadu,Madurai,Assault,18,793580
2018,2,Tamil Nadu,Madurai,Cyber Crime,66,851253
2018,2,Tamil Nadu,Madurai,Homicide,9,1154805
2018,3,Tamil Nadu,Madurai,Burglary,35,540341
2018,3,Tamil Nadu,Madurai,Homicide,61,306955
2018,3,Tamil Nadu,Madurai,Theft,31,844165
2018,6,Tamil Nadu,Madurai,Cyber Crime,75,770130
2018,6,Tamil Nadu,Madurai,Homicide,28,1212099
2018,6,Tamil Nadu,Madurai,Theft,55,646554
2018,10,Tamil Nadu,Madurai,Assault,55,127692
2018,10,Tamil Nadu,Madurai,Cyber Crime,84,744558
2018,10,Tamil Nadu,Madurai,Kidnapping,67,1278736
2018,12,Tamil Nadu,Madurai,Burglary,46,1023551
2018,12,Tamil Nadu,Madurai,Cyber Crime,46,820394
2018,12,Tamil Nadu,Madurai,Theft,39,691072
2018,4,Telangana,Hyderabad,Assault,54,859519
2018,4,Telangana,Hyderabad,Cyber Crime,28,855907
2018,4,Telangana,Hyderabad,Fraud,60,935615
2018,6,Telangana,Hyderabad,Cyber Crime,43,130089
2018,6,Telangana,Hyderabad,Homicide,38,1471818
2018,6,Telangana,Hyderabad,Robbery,12,144932
2018,7,Telangana,Hyderabad,Assault,66,382951
2018,7,Telangana,Hyderabad,Homicide,48,122118
2018,7,Telangana,Hyderabad,Robbery,32,1036403
2018,10,Telangana,Hyderabad,Assault,18,168678
2018,10,Telangana,Hyderabad,Cyber Crime,21,943337
2018,10,Telangana,Hyderabad,Kidnapping,16,308632
2018,11,Telangana,Hyderabad,Fraud,32,389123
2018,11,Telangana,Hyderabad,Homicide,52,270364
2018,11,Telangana,Hyderabad,Robbery,37,425677
2018,12,Telangana,Hyderabad,Assault,7,349603
2018,12,Telangana,Hyderabad,Cyber Crime,30,1088044
2018,12,Telangana,Hyderabad,Theft,38,1454761
2018,1,Telangana,Karimnagar,Assault,7,1306589
2018,1,Telangana,Karimnagar,Cyber Crime,39,148647
2018,1,Telangana,Karimnagar,Robbery,38,1295837
2018,3,Telangana,Karimnagar,Homicide,41,939338
2018,3,Telangana,Karimnagar,Kidnapping,7,349496
2018,3,Telangana,Karimnagar,Theft,9,522259
2018,6,Telangana,Karimnagar,Burglary,27,1426145
2018,6,Telangana,Karimnagar,Cyber Crime,10,722289
2018,6,Telangana,Karimnagar,Kidnapping,38,1341945
2018,7,Telangana,Karimnagar,Cyber Crime,6,730488
2018,7,Telangana,Karimnagar,Homicide,2,681834
2018,7,Telangana,Karimnagar,Kidnapping,13,1429945
2018,9,Telangana,Karimnagar,Assault,20,455789
2018,9,Telangana,Karimnagar,Burglary,18,404045
2018,9,Telangana,Karimnagar,Theft,71,1426233
2018,10,Telangana,Karimnagar,Burglary,12,1490383
2018,10,Telangana,Karimnagar,Robbery,42,102618
2018,10,Telangana,Karimnagar,Theft,27,1310649
2018,4,Telangana,Warangal,Burglary,73,357719
2018,4,Telangana,Warangal,Fraud,47,533890
2018,4,Telangana,Warangal,Theft,14,970986
2018,6,Telangana,Warangal,Homicide,65,1290534
2018,6,Telangana,Warangal,Kidnapping,58,600748
2018,6,Telangana,Warangal,Robbery,16,776896
2018,7,Telangana,Warangal,Assault,14,1033585
2018,7,Telangana,Warangal,Burglary,24,1276156
2018,7,Telangana,Warangal,Robbery,12,437739
2018,9,Telangana,Warangal,Assault,18,1089022
2018,9,Telangana,Warangal,Fraud,10,750782
2018,9,Telangana,Warangal,Homicide,40,1123678
2018,11,Telangana,Warangal,Burglary,54,1342424
2018,11,Telangana,Warangal,Homicide,15,809279
2018,11,Telangana,Warangal,Theft,19,448219
2018,12,Telangana,Warangal,Kidnapping,64,736434
2018,12,Telangana,Warangal,Robbery,24,910049
2018,12,Telangana,Warangal,Theft,31,264627
2018,2,Uttar Pradesh,Lucknow,Assault,56,1378676
2018,2,Uttar Pradesh,Lucknow,Cyber Crime,6,537118
2018,2,Uttar Pradesh,Lucknow,Homicide,64,747692
2018,4,Uttar Pradesh,Lucknow,Fraud,16,569443
2018,4,Uttar Pradesh,Lucknow,Kidnapping,67,523526
2018,4,Uttar Pradesh,Lucknow,Theft,30,481103
2018,5,Uttar Pradesh,Lucknow,Cyber Crime,52,634287
2018,5,Uttar Pradesh,Lucknow,Fraud,29,615806
2018,5,Uttar Pradesh,Lucknow,Robbery,28,919750
2018,6,Uttar Pradesh,Lucknow,Burglary,37,697968
2018,6,Uttar Pradesh,Lucknow,Kidnapping,32,1331703
2018,6,Uttar Pradesh,Lucknow,Theft,43,200260
2018,10,Uttar Pradesh,Lucknow,Assault,61,101286
2018,10,Uttar Pradesh,Lucknow,Kidnapping,54,201133
2018,10,Uttar Pradesh,Lucknow,Robbery,36,220362
2018,11,Uttar Pradesh,Lucknow,Cyber Crime,22,175129
2018,11,Uttar Pradesh,Lucknow,Fraud,17,321282
2018,11,Uttar Pradesh,Lucknow,Theft,33,509826
2018,2,Uttar Pradesh,Noida,Burglary,38,630126
2018,2,Uttar Pradesh,Noida,Cyber Crime,10,400272
2018,2,Uttar Pradesh,Noida,Theft,29,182457
2018,3,Uttar Pradesh,Noida,Assault,52,646997
2018,3,Uttar Pradesh,Noida,Burglary,38,947971
2018,3,Uttar Pradesh,Noida,Theft,52,995777
2018,7,Uttar Pradesh,Noida,Burglary,7,1406658
2018,7,Uttar Pradesh,Noida,Cyber Crime,49,259043
2018,7,Uttar Pradesh,Noida,Kidnapping,18,696614
2018,8,Uttar Pradesh,Noida,Burglary,32,800321
2018,8,Uttar Pradesh,Noida,Cyber Crime,29,920459
2018,8,Uttar Pradesh,Noida,Kidnapping,44,369741
2018,9,Uttar Pradesh,Noida,Burglary,7,174934
2018,9,Uttar Pradesh,Noida,Fraud,69,1094394
2018,9,Uttar Pradesh,Noida,Kidnapping,60,611193
2018,11,Uttar Pradesh,Noida,Fraud,51,1418302
2018,11,Uttar Pradesh,Noida,Homicide,74,877012
2018,11,Uttar Pradesh,Noida,Kidnapping,32,1026892
2018,3,Uttar Pradesh,Varanasi,Assault,34,668580
2018,3,Uttar Pradesh,Varanasi,Fraud,52,499601
2018,3,Uttar Pradesh,Varanasi,Kidnapping,19,282633
2018,5,Uttar Pradesh,Varanasi,Assault,22,628959
2018,5,Uttar Pradesh,Varanasi,Burglary,35,900836
2018,5,Uttar Pradesh,Varanasi,Kidnapping,7,444732
2018,7,Uttar Pradesh,Varanasi,Assault,52,1419574
2018,7,Uttar Pradesh,Varanasi,Cyber Crime,12,923791
2018,7,Uttar Pradesh,Varanasi,Homicide,12,936227
2018,9,Uttar Pradesh,Varanasi,Fraud,48,1000172
2018,9,Uttar Pradesh,Varanasi,Homicide,16,1196100
2018,9,Uttar Pradesh,Varanasi,Kidnapping,61,1121864
2018,10,Uttar Pradesh,Varanasi,Fraud,41,681926
2018,10,Uttar Pradesh,Varanasi,Homicide,28,174749
2018,10,Uttar Pradesh,Varanasi,Robbery,37,125796
2018,11,Uttar Pradesh,Varanasi,Assault,57,160312
2018,11,Uttar Pradesh,Varanasi,Cyber Crime,49,1147367
2018,11,Uttar Pradesh,Varanasi,Theft,45,1284277
2018,1,West Bengal,Durgapur,Fraud,33,1463573
2018,1,West Bengal,Durgapur,Homicide,24,1279009
2018,1,West Bengal,Durgapur,Robbery,17,864218
2018,2,West Bengal,Durgapur,Fraud,27,216432
